NAICS_Code,NAICS_Title,NAICS_Description,Hiscox_COB,Hiscox_COB,COB_Group,PL,GL,BOP,Cyber,full_industry_code
236220,Commercial and Institutional Building Construction ,Bunkhouse construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,Bus shelter construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,Cinema construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,Commercial building construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,Commercial building construction general contractors,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,Dormitory construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,Educational building construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,Farm building construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,"Handyman construction service, commercial and institutional building",Handyperson (no roof work),Handyperson (no roof work),Small Contractors,N,Y,N,Y,23839000_49907100_01000000
236220,Commercial and Institutional Building Construction ,Health and athletic club construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,"Ice rink, indoor, construction",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,Indoor swimming pool construction,Swimming pool contractor,Swimming pool contractor,Small Contractors,Y,N,N,N,23899000_17990100_00000000
236220,Commercial and Institutional Building Construction ,Institutional building construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,Institutional building construction general contractors,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,Library construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,Logging camp construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,Office building construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,Parking garage construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,Post office construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,Public warehouse construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,Radio and television broadcast studio construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,Radio station construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,Recreational facility building construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,"Religious building (e.g., church, synagogue, mosque, temple) construction",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,Restaurant construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,Salon construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,School building construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,Self-storage facility construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,Store construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,"Swimming facility, indoor, construction",Swimming pool contractor,Swimming pool contractor,Small Contractors,Y,N,N,N,23899000_17990100_00000000
236220,Commercial and Institutional Building Construction ,Television station construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,"Tennis court, indoor, construction",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
236220,Commercial and Institutional Building Construction ,Theater construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
237110,Water and Sewer Line and Related Structures Construction ,Irrigation project construction (except lawn),Irrigation or drainage systems,Irrigation or drainage systems,Small Contractors,Y,N,N,N,22131000_37301100_00000000
237990,Other Heavy and Civil Engineering Construction ,Drainage canal and ditch construction,Irrigation or drainage systems,Irrigation or drainage systems,Small Contractors,Y,N,N,N,22131000_37301100_00000000
237990,Other Heavy and Civil Engineering Construction ,Drainage project construction,Irrigation or drainage systems,Irrigation or drainage systems,Small Contractors,Y,N,N,N,22131000_37301100_00000000
237990,Other Heavy and Civil Engineering Construction ,Drive-in movie facility construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
237990,Other Heavy and Civil Engineering Construction ,Land drainage contractors,Irrigation or drainage systems,Irrigation or drainage systems,Small Contractors,Y,N,N,N,22131000_37301100_00000000
237990,Other Heavy and Civil Engineering Construction ,Park and recreational open space improvement construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
237990,Other Heavy and Civil Engineering Construction ,"Recreation area, open space, construction",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
237990,Other Heavy and Civil Engineering Construction ,Recreational vehicle park construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
237990,Other Heavy and Civil Engineering Construction ,Sports field construction,General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
237990,Other Heavy and Civil Engineering Construction ,"Tennis courts, outdoor, construction",General Contractor - Construction and installation only,General Contractor - Construction and installation only,Small Contractors,Y,N,N,N,23622000_15420000_01000000
238130,Framing Contractors ,Building framing (except structural steel),Framing contractor,Framing contractor,Small Contractors,Y,N,N,N,23813000_17510000_02000000
238130,Framing Contractors ,"Carpentry, framing",Framing contractor,Framing contractor,Small Contractors,Y,N,N,N,23813000_17510000_02000000
238130,Framing Contractors ,"Ceiling beam, wood, installation",Framing contractor,Framing contractor,Small Contractors,Y,N,N,N,23813000_17510000_02000000
238130,Framing Contractors ,"Framework, house, contractors",Framing contractor,Framing contractor,Small Contractors,Y,N,N,N,23813000_17510000_02000000
238130,Framing Contractors ,Framing contractors,Framing contractor,Framing contractor,Small Contractors,Y,N,N,N,23813000_17510000_02000000
238130,Framing Contractors ,House framing,Framing contractor,Framing contractor,Small Contractors,Y,N,N,N,23813000_17510000_02000000
238130,Framing Contractors ,Permanent wood foundation installation,Framing contractor,Framing contractor,Small Contractors,Y,N,N,N,23813000_17510000_02000000
238130,Framing Contractors ,Post framing contractors,Framing contractor,Framing contractor,Small Contractors,Y,N,N,N,23813000_17510000_02000000
238130,Framing Contractors ,"Prefabricated wood frame component (e.g., trusses) installation",Framing contractor,Framing contractor,Small Contractors,Y,N,N,N,23813000_17510000_02000000
238130,Framing Contractors ,Roof truss (wood) installation,Roofing contractor,Roofing contractor,Small Contractors,Y,N,N,N,23816000_17610000_00000000
238130,Framing Contractors ,"Sheathing, wood, installation",Framing contractor,Framing contractor,Small Contractors,Y,N,N,N,23813000_17510000_02000000
238130,Framing Contractors ,Steel framing contractors,Framing contractor,Framing contractor,Small Contractors,Y,N,N,N,23813000_17510000_02000000
238130,Framing Contractors ,"Stud wall (e.g., wood, steel) installation",Framing contractor,Framing contractor,Small Contractors,Y,N,N,N,23813000_17510000_02000000
238130,Framing Contractors ,"Wall component (i.e., exterior, interior), prefabricated, installation",Framing contractor,Framing contractor,Small Contractors,Y,N,N,N,23813000_17510000_02000000
238130,Framing Contractors ,"Wood frame component (e.g., truss) fabrication on site",Framing contractor,Framing contractor,Small Contractors,Y,N,N,N,23813000_17510000_02000000
238140,Masonry Contractors ,"Brick veneer, installation",Masonry work,Masonry work,Small Contractors,Y,Y,N,Y,23814000_47205100_00000000
238140,Masonry Contractors ,Bricklaying contractors,Masonry work,Masonry work,Small Contractors,Y,Y,N,Y,23814000_47205100_00000000
238140,Masonry Contractors ,Cement block laying,Masonry work,Masonry work,Small Contractors,Y,Y,N,Y,23814000_47205100_00000000
238140,Masonry Contractors ,"Chimney, brick, block or stone, contractors",Masonry work,Masonry work,Small Contractors,Y,Y,N,Y,23814000_47205100_00000000
238140,Masonry Contractors ,Cinder block installation,Masonry work,Masonry work,Small Contractors,Y,Y,N,Y,23814000_47205100_00000000
238140,Masonry Contractors ,Concrete block laying,Masonry work,Masonry work,Small Contractors,Y,Y,N,Y,23814000_47205100_00000000
238140,Masonry Contractors ,"Field stone (i.e., masonry) installation",Masonry work,Masonry work,Small Contractors,Y,Y,N,Y,23814000_47205100_00000000
238140,Masonry Contractors ,"Fireplace, masonry, installation",Masonry work,Masonry work,Small Contractors,Y,Y,N,Y,23814000_47205100_00000000
238140,Masonry Contractors ,Glass block laying,Masonry work,Masonry work,Small Contractors,Y,Y,N,Y,23814000_47205100_00000000
238140,Masonry Contractors ,"Glass unit (i.e., glass block) masonry",Masonry work,Masonry work,Small Contractors,Y,Y,N,Y,23814000_47205100_00000000
238140,Masonry Contractors ,"Granite, exterior, contractors",Masonry work,Masonry work,Small Contractors,Y,Y,N,Y,23814000_47205100_00000000
238140,Masonry Contractors ,"Marble, granite and slate, exterior, contractors",Masonry work,Masonry work,Small Contractors,Y,Y,N,Y,23814000_47205100_00000000
238140,Masonry Contractors ,Masonry contractors,Masonry work,Masonry work,Small Contractors,Y,Y,N,Y,23814000_47205100_00000000
238140,Masonry Contractors ,"Masonry pointing, cleaning or caulking",Masonry work,Masonry work,Small Contractors,Y,Y,N,Y,23814000_47205100_00000000
238140,Masonry Contractors ,Refractory brick contractors,Masonry work,Masonry work,Small Contractors,Y,Y,N,Y,23814000_47205100_00000000
238140,Masonry Contractors ,"Slate (i.e., masonry) contractors",Masonry work,Masonry work,Small Contractors,Y,Y,N,Y,23814000_47205100_00000000
238140,Masonry Contractors ,"Stonework (i.e., masonry) contractors",Masonry work,Masonry work,Small Contractors,Y,Y,N,Y,23814000_47205100_00000000
238140,Masonry Contractors ,Stucco contractors,Plastering or stucco work,Plastering or stucco work,Small Contractors,Y,Y,N,Y,23831000_47208100_02000000
238140,Masonry Contractors ,Tuck pointing contractors,Masonry work,Masonry work,Small Contractors,Y,Y,N,Y,23814000_47205100_00000000
238150,Glass and Glazing Contractors ,"Curtain wall, glass, installation",Glass installation and repair (no auto work),Glass installation and repair (no auto work),Small Contractors,Y,Y,N,Y,23815000_47212100_01000000
238150,Glass and Glazing Contractors ,Decorative glass and mirror installation,Glass installation and repair (no auto work),Glass installation and repair (no auto work),Small Contractors,Y,Y,N,Y,23815000_47212100_01000000
238150,Glass and Glazing Contractors ,"Glass cladding (i.e., curtain wall), installation",Glass installation and repair (no auto work),Glass installation and repair (no auto work),Small Contractors,Y,Y,N,Y,23815000_47212100_01000000
238150,Glass and Glazing Contractors ,Glass coating and tinting (except automotive) contractors,Glass & glazing contractor/window contractor/glazier,Glass & glazing contractor/window contractor/glazier,Small Contractors,Y,N,N,N,23815000_47212100_02000000
238150,Glass and Glazing Contractors ,Glass installation (except automotive) contractors,Glass installation and repair (no auto work),Glass installation and repair (no auto work),Small Contractors,Y,Y,N,Y,23815000_47212100_01000000
238150,Glass and Glazing Contractors ,"Glass partitions, installation",Glass installation and repair (no auto work),Glass installation and repair (no auto work),Small Contractors,Y,Y,N,Y,23815000_47212100_01000000
238150,Glass and Glazing Contractors ,Glazing contractors,Glass installation and repair (no auto work),Glass installation and repair (no auto work),Small Contractors,Y,Y,N,Y,23815000_47212100_01000000
238150,Glass and Glazing Contractors ,"Hermetically sealed window unit, commercial-type, installation",Glass & glazing contractor/window contractor/glazier,Glass & glazing contractor/window contractor/glazier,Small Contractors,Y,N,N,N,23815000_47212100_02000000
238150,Glass and Glazing Contractors ,Mirror installation,Glass installation and repair (no auto work),Glass installation and repair (no auto work),Small Contractors,Y,Y,N,Y,23815000_47212100_01000000
238150,Glass and Glazing Contractors ,Stained glass installation,Glass & glazing contractor/window contractor/glazier,Glass & glazing contractor/window contractor/glazier,Small Contractors,Y,N,N,N,23815000_47212100_02000000
238150,Glass and Glazing Contractors ,Window pane or sheet installation,Glass installation and repair (no auto work),Glass installation and repair (no auto work),Small Contractors,Y,Y,N,Y,23815000_47212100_01000000
238160,Roofing Contractors ,Asphalt roof shingle installation,Roofing contractor,Roofing contractor,Small Contractors,Y,N,N,N,23816000_17610000_00000000
238160,Roofing Contractors ,Copper roofing installation,Roofing contractor,Roofing contractor,Small Contractors,Y,N,N,N,23816000_17610000_00000000
238160,Roofing Contractors ,Corrugated metal roofing installation,Roofing contractor,Roofing contractor,Small Contractors,Y,N,N,N,23816000_17610000_00000000
238160,Roofing Contractors ,Galvanized iron roofing installation,Roofing contractor,Roofing contractor,Small Contractors,Y,N,N,N,23816000_17610000_00000000
238160,Roofing Contractors ,Low slope roofing installation,Roofing contractor,Roofing contractor,Small Contractors,Y,N,N,N,23816000_17610000_00000000
238160,Roofing Contractors ,"Painting, spraying, or coating, roof",Roofing contractor,Roofing contractor,Small Contractors,Y,N,N,N,23816000_17610000_00000000
238160,Roofing Contractors ,Roll roofing installation,Roofing contractor,Roofing contractor,Small Contractors,Y,N,N,N,23816000_17610000_00000000
238160,Roofing Contractors ,Roof membrane installation,Roofing contractor,Roofing contractor,Small Contractors,Y,N,N,N,23816000_17610000_00000000
238160,Roofing Contractors ,"Roof painting, spraying, or coating",Roofing contractor,Roofing contractor,Small Contractors,Y,N,N,N,23816000_17610000_00000000
238160,Roofing Contractors ,Roofing contractors,Roofing contractor,Roofing contractor,Small Contractors,Y,N,N,N,23816000_17610000_00000000
238160,Roofing Contractors ,"Roofing, built-up tar and gravel, installation",Roofing contractor,Roofing contractor,Small Contractors,Y,N,N,N,23816000_17610000_00000000
238160,Roofing Contractors ,"Shake and shingle, roof, installation",Roofing contractor,Roofing contractor,Small Contractors,Y,N,N,N,23816000_17610000_00000000
238160,Roofing Contractors ,Sheet metal roofing installation,Roofing contractor,Roofing contractor,Small Contractors,Y,N,N,N,23816000_17610000_00000000
238160,Roofing Contractors ,Skylight installation,Roofing contractor,Roofing contractor,Small Contractors,Y,N,N,N,23816000_17610000_00000000
238160,Roofing Contractors ,"Solar reflecting coating, roof, application",Roofing contractor,Roofing contractor,Small Contractors,Y,N,N,N,23816000_17610000_00000000
238160,Roofing Contractors ,Steep slope roofing installation,Roofing contractor,Roofing contractor,Small Contractors,Y,N,N,N,23816000_17610000_00000000
238160,Roofing Contractors ,"Treating roofs (by spraying, painting or coating)",Roofing contractor,Roofing contractor,Small Contractors,Y,N,N,N,23816000_17610000_00000000
238170,Siding Contractors ,Aluminum siding installation,Siding installation (< 3 stories),Siding installation (< 3 stories),Small Contractors,Y,N,N,N,23817000_47203100_01000000
238170,Siding Contractors ,"Downspout, gutter, and gutter guard installation",Gutter & downspout work,Gutter & downspout work,Small Contractors,Y,N,N,N,23817000_47221100_00000000
238170,Siding Contractors ,Eavestrough installation,Gutter & downspout work,Gutter & downspout work,Small Contractors,Y,N,N,N,23817000_47221100_00000000
238170,Siding Contractors ,Fascia and soffit installation,Siding installation (< 3 stories),Siding installation (< 3 stories),Small Contractors,Y,N,N,N,23817000_47203100_01000000
238170,Siding Contractors ,Flashing contractors,Roofing contractor,Roofing contractor,Small Contractors,Y,N,N,N,23816000_17610000_00000000
238170,Siding Contractors ,Gutter and downspout contractors,Gutter & downspout work,Gutter & downspout work,Small Contractors,Y,N,N,N,23817000_47221100_00000000
238170,Siding Contractors ,"Gutters, seamless roof, formed and installed on site",Gutter & downspout work,Gutter & downspout work,Small Contractors,Y,N,N,N,23817000_47221100_00000000
238170,Siding Contractors ,"Ice apron, roof, installation",Roofing contractor,Roofing contractor,Small Contractors,Y,N,N,N,23816000_17610000_00000000
238170,Siding Contractors ,Metal siding installation,Siding installation (< 3 stories),Siding installation (< 3 stories),Small Contractors,Y,N,N,N,23817000_47203100_01000000
238170,Siding Contractors ,"Siding (e.g., vinyl, wood, aluminum) installation",Siding installation (< 3 stories),Siding installation (< 3 stories),Small Contractors,Y,N,N,N,23817000_47203100_01000000
238170,Siding Contractors ,Siding contractors,Siding installation (< 3 stories),Siding installation (< 3 stories),Small Contractors,Y,N,N,N,23817000_47203100_01000000
238170,Siding Contractors ,"Vinyl siding, soffit and fascia, installation",Siding installation (< 3 stories),Siding installation (< 3 stories),Small Contractors,Y,N,N,N,23817000_47203100_01000000
