Partner_Description,Hiscox_COB,full_industry_code
Credit Bureaus,OOA,0
Credit Debt Counseling (Non Profit),Credit counseling,54199000_13207100_00000000
Credit Union,OOA,0
Crematory / Mortuary,Funeral homes,81221000_11101100_00000000
Crude Petroleum and Natural Gas Extraction,OOA,0
Custodial Services,OOA,0
Custom Computer Programmer,Computer programming services,54151100_15125100_01000000
Custom Harvester,OOA,0
Dairy Farmer,OOA,0
Dairy Products Distributor,OOA,0
Dairy Products Stores,"Dairy, Eggs, & Ice Cream Stores",44529900_11101100_00000005
Dance Instructor,OOA,0
Dance Studios or Fine Art School,OOA,0
Dance Therapist,Dance therapy,62134000_29112500_02000000
Data Processing,Data processing,51821000_13119900_02000000
Day Spa,Day/beauty spas,81219900_39500000_00000000
Debris Removal – Construction Site,OOA,0
Deep Sea Transportation,OOA,0
Delicatessen,Delis and Delicatessens,72251300_11101100_01000000
Dental Labs,Dental Laboratories,33911600_29201100_00000000
Dentist,Dentists Office,62121000_29102100_00000000
Deodorizing & Disinfecting Services,Janitorial/cleaning services,56172000_37201100_01000000
Desktop Publishing,Publishers - Software,51121000_15125200_02000000
Dialysis Center,OOA,0
Dietitian,Diet/nutrition services,81219100_29103100_00000000
Digital Marketing / Advertising Agency,Advertising,54181000_41301100_00000000
Diner,OOA,0
Direct Marketing,Direct marketing,54186000_13116100_00000000
Disabled Person Transportation,OOA,0
Disc Jockey,OOA,0
Doctors,Physicians Office,62111100_29122900_10000000
Document Preparation,Document preparation,56141000_23101200_00000000
Document Storage,OOA,0
Dog Walker,Pet sitting,81291000_39202000_06000000
Donut Shop,Donut shops,72251300_11101100_02000000
Door / Window Installation,Door or window installation and repair,23835000_47203100_02000300
Draftsmen,Draftsman (including CAD/CAM),54134000_17301900_01000000
Drain Cleaning,Plumbing (residential or domestic),23822000_47215200_00010000
Drama Therapist,Drama therapy,62134000_29112500_03000000
Drapery Distributor,OOA,0
Drilling Oil and Gas Wells,OOA,0
Drive-In Motion Picture Theaters,OOA,0
